"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
716,"Mike Lewis",2.07605884010221,-1.22949770703097,"C",10249,344,6,5,"lewismi01"
717,"Mike Woodson",2.07280821413819,-2.78166136579413,"SG",20369,799,11,7,"woodsmi01"
718,"Michael Smith",2.05510252182365,0.885709972587069,"PF",10639,453,7,3,"smithmi02"
719,"James Johnson",2.04357355864653,-3.59511083879681,"SF",6561,361,7,4,"johnsja01"
720,"Scott Williams",2.03436786597306,-1.74852954906151,"C",13724,840,15,7,"willisc01"
721,"Chris Ford",2.020076361748,-0.744179458550101,"SG",23520,852,10,2,"fordch01"
722,"Jim Cleamons",2.0127634050327,-1.2573825574532,"PG",17661,679,9,4,"cleamji01"
723,"Trent Tucker",1.99225197013202,0.101189252269599,"SG",16730,822,11,3,"tucketr01"
724,"Lindsey Hunter",1.9803723088836,-1.93605078335189,"PG",25320,1084,17,5,"hunteli01"
725,"Walter Dukes",1.97790232301671,0.946554939246343,"C",15832,588,8,3,"dukeswa01"
726,"Harrison Barnes",1.97331618798164,0.195144726337707,"SF",8346,296,4,1,"barneha02"
727,"Brandon Jennings",1.97035623388307,-0.0987831546505832,"PG",14351,423,6,2,"jennibr01"
728,"Travis Best",1.96750682413749,-0.737315548219222,"PG",16372,771,10,5,"besttr01"
729,"Truck Robinson",1.96630251680757,-0.841691109945476,"PF",26877,846,11,5,"robintr01"
730,"Jim King",1.96014816993002,-1.40776655741066,"PG",12639,680,10,4,"kingji01"
731,"Rudy Fernandez",1.95172425235992,-0.12909770484952,"SG",6327,267,4,2,"fernaru01"
732,"Joe Graboski",1.94928438707082,-2.63706305715496,"PF",23179,743,11,3,"grabojo01"
733,"Charles Jones",1.93477800176846,-2.46206294677793,"PF",14686,770,15,5,"jonesch01"
734,"Keith Van Horn",1.93451871774801,-0.410580320108803,"SF",19614,632,9,5,"vanhoke01"
735,"George Lehmann",1.93177298098362,-4.1406283515679,"PG",9714,377,7,8,"lehmage01"
736,"Al Attles",1.92690800092335,-0.538422091029849,"PG",19330,773,11,2,"attleal01"
737,"Dennis Scott",1.92202427012254,-1.62507239790056,"SF",19430,674,10,6,"scottde01"
738,"Tristan Thompson",1.91698866625612,0.168411433891345,"PF",9840,339,5,1,"thomptr01"
739,"Brad Davis",1.91087216903643,-1.33321782878834,"PG",23252,1006,15,4,"davisbr01"
740,"Don Otten",1.90446376930272,2.71409769515688,"C",2173,88,2,2,"ottendo01"
741,"Ronny Turiaf",1.90428559078767,-0.186751076194863,"C",8535,520,10,7,"turiaro01"
742,"Zaza Pachulia",1.8972803539024,-0.839346325353789,"C",18368,875,13,4,"pachuza01"
743,"Ronald Thomas",1.89255453592583,1.40976674245432,"PF",3957,314,4,1,"thomaro01"
744,"Mikki Moore",1.87276338315343,-0.439284705336608,"C",10764,589,13,9,"mooremi01"
745,"Darnell Hillman",1.86792253261313,-0.531659290682412,"PF",19738,772,9,6,"hillmda01"
746,"Brevin Knight",1.85983094484502,-2.62058366783164,"PG",18426,743,12,9,"knighbr01"
747,"Willie Murrell",1.85433323139537,-1.01950077314126,"SF",7436,252,3,3,"murrewi01"
748,"Will Perdue",1.8464895781807,-0.72589499725494,"C",13616,900,13,3,"perduwi01"
749,"Jim Jackson",1.83814905349212,-1.78837497682665,"SF",30344,933,14,12,"jacksji01"
750,"Andres Nocioni",1.83801635550311,-3.59395663345438,"SF",12652,537,8,3,"nocioan01"
751,"Kenny Thomas",1.83648534238125,-0.900320254690419,"PF",17996,655,11,3,"thomake01"
752,"Tom Hawkins",1.82924514295746,-1.05694666512224,"SF",20564,860,10,3,"hawkito01"
753,"Kim Hughes",1.8283387981539,-0.948145520978189,"C",8182,440,6,5,"hugheki01"
754,"Ralph Simpson",1.81298309695256,-3.88658032271043,"SG",21376,760,10,6,"simpsra01"
755,"Kemba Walker",1.8117763990056,0.871563459107309,"PG",9960,300,5,2,"walkeke02"
756,"Tim Legler",1.80981640304865,-4.80588683054042,"SG",5272,313,10,7,"legleti01"
757,"Len Chappell",1.80391887108417,-2.02221039276681,"PF",12361,696,10,10,"chapple01"
758,"Eddie House",1.78859232627328,-2.78013016154764,"PG",13085,783,11,9,"houseed01"
759,"Aaron Williams",1.78834438992639,-4.05010337215069,"PF",12912,768,14,10,"williaa01"
760,"Bob Ferry",1.78694099960549,-0.694021828664149,"C",13509,676,10,3,"ferrybo01"
761,"Kelvin Cato",1.78412395187997,-0.978905694239533,"C",10881,562,10,5,"catoke01"
762,"Joel Anthony",1.78366434822064,-0.0802116937697415,"C",7980,515,8,3,"anthojo01"
763,"Bill Bradley",1.78203015310221,-1.11935022207926,"SF",25960,837,10,1,"bradlbi01"
764,"Joel Przybilla",1.76970837170835,-2.2893866495526,"C",11930,603,13,4,"przybjo01"
765,"Marvin Williams",1.76382547748103,-0.823626685420118,"SF",21679,759,11,3,"willima02"
766,"Charles Beasley",1.76130898384004,-0.926413810587522,"SG",8045,304,4,3,"beaslch01"
767,"Willie Anderson",1.75488590154259,-1.2787684565773,"SG",17114,607,9,4,"anderwi01"
768,"Craig Raymond",1.75366258284174,-0.984883560329863,"C",5435,264,5,7,"raymocr01"
769,"Bobby Phills",1.75240675332898,-1.06235590519748,"SG",14026,493,9,2,"phillbo01"
770,"Daniel Gibson",1.74590922656374,-1.21971335006526,"PG",10197,447,7,1,"gibsoda01"
771,"James Edwards",1.74139022949939,-2.71467160631125,"C",30568,1279,19,8,"edwarja01"
772,"Maurice Evans",1.73803829942406,-0.63102046872394,"SG",11852,618,9,7,"evansma01"
773,"Art Williams",1.73530716382739,-0.395574822342699,"PG",9945,587,8,3,"williar01"
774,"Steve Jones",1.73027676982952,-1.12443971297964,"SG",22252,741,9,8,"jonesst01"
775,"Gerald Henderson",1.7269941921818,-1.94651432623835,"PG",20426,959,13,7,"hendege01"
776,"Dell Curry",1.7255985859882,-2.14760781749951,"SG",24440,1134,16,5,"curryde01"
777,"Chris Gatling",1.72120842475927,-2.22414815144492,"PF",14056,715,11,8,"gatlich01"
778,"Brian Winters",1.71912476715675,-0.128328439120496,"SG",21290,691,9,2,"wintebr01"
779,"Gene Moore",1.7116840609864,-1.92398392953494,"C",12713,512,7,6,"moorege01"
780,"Neil Johnson",1.66310502792011,-2.33722846701296,"PF",6845,405,7,3,"johnsne02"
781,"Danny Ferry",1.66117346773253,-2.43324864051276,"PF",19094,984,13,2,"ferryda01"
782,"Terry Mills",1.64479681746729,-2.42913337144169,"PF",16831,695,11,5,"millste01"
783,"Purvis Short",1.6369318521131,-1.13034377141369,"SF",24910,860,12,3,"shortpu01"
784,"Armen Gilliam",1.63418313459678,-1.33543835663554,"PF",27113,963,13,6,"gilliar01"
785,"Greg Stiemsma",1.63402500170031,7.28610275809617,"C",3193,223,4,4,"stiemgr01"
786,"Tom Boswell",1.63303186620202,-1.84520957554877,"PF",7305,386,6,3,"bosweto01"
787,"Alvin Scott",1.632684538533,-0.714191182832678,"SF",11731,688,8,1,"scottal01"
788,"Kevin Porter",1.63236809534634,-1.82323985968952,"PG",20078,692,10,5,"porteke01"
789,"John Tresvant",1.62557647941701,-0.196543117038162,"PF",13158,599,9,6,"tresvjo01"
790,"Jesse Branson",1.61989046008778,-1.09067211562867,"SF",2308,100,2,2,"bransje01"
791,"Jack McMahon",1.6195456246731,-2.76680042370118,"PG",15746,573,8,2,"mcmahja01"
792,"Raymond Felton",1.61741108603315,-1.44610056408005,"PG",24304,734,11,5,"feltora01"
793,"Mike James",1.60280034772562,-2.75607080413411,"PG",14758,628,12,11,"jamesmi01"
794,"Glen Gondrezick",1.59544139435383,0.128721617369714,"SF",7732,450,6,2,"gondrgl01"
795,"Slick Watts",1.5938968016453,-0.943470539390075,"PG",12035,454,6,3,"wattssl01"
796,"Quinn Buckner",1.59346834299662,-1.37217991882568,"PG",17302,787,10,3,"bucknqu01"
797,"George Dempsey",1.5876184930474,0.687026631436749,"PG",6059,340,5,2,"dempsge01"
798,"John Brisker",1.5875244609568,-0.579645369477532,"SF",9953,331,6,3,"briskjo01"
799,"Bison Dele",1.5862035410625,-0.51399831601276,"C",10795,452,8,5,"delebi01"
800,"Jeremy Evans",1.5757425996338,3.22820125175872,"SF",2481,232,6,2,"evansje01"
801,"Steve Kuberski",1.56190527456629,-3.15535140033167,"PF",8511,618,9,3,"kuberst01"
802,"Jim Davis",1.56003552317527,-1.41346051701172,"C",10409,630,8,4,"davisji01"
803,"Scott Skiles",1.55707915786307,-3.22419495318552,"PG",16812,602,10,5,"skilesc01"
804,"Julius Keye",1.55613116655063,-2.04934635991143,"PF",14319,437,6,2,"keyeju01"
805,"Eric Piatkowski",1.55499249998415,-1.04769197253291,"SG",14754,806,14,4,"piatker01"
806,"Lewis Lloyd",1.54934825254055,-2.77491980006416,"SG",10169,413,7,3,"lloydle01"
807,"Tony Delk",1.54920560143064,-0.771775421707579,"PG",12740,598,10,8,"delkto01"
808,"Tracy Murray",1.54702476617166,-2.88724635789959,"SF",12206,666,12,7,"murratr01"
809,"Patrick Beverley",1.54563188594303,-0.0945966114100869,"PG",4705,172,4,1,"beverpa01"
810,"Dan Anderson",1.53826021024906,0.227434718590899,"C",4063,145,2,4,"anderda01"
811,"Sam Bowie",1.53757776266152,-1.07268027070421,"C",14742,540,10,3,"bowiesa01"
812,"Dorell Wright",1.53616473027601,-2.1143260640252,"SF",12484,564,11,4,"wrighdo01"
813,"Keith Askins",1.52928423411127,-2.92726448701439,"SF",8316,513,9,1,"askinke01"
814,"Leon Powe",1.51920137509115,-4.10414869133692,"C",3637,271,5,3,"powele01"
815,"Arron Afflalo",1.51808017117695,-1.89769516810476,"SG",17024,618,9,5,"afflaar01"
816,"Eric Williams",1.51188204785434,-2.35808011759157,"SF",16528,684,12,7,"willier01"
817,"John Roche",1.5086609266402,-2.23706311002192,"SG",13948,515,8,5,"rochejo01"
818,"Marco Belinelli",1.50681857955387,-1.2785044668242,"SG",12810,564,9,6,"belinma01"
819,"Greg Oden",1.50333888648233,1.44840299190415,"C",2131,114,3,2,"odengr01"
820,"Gar Heard",1.50207711455587,-0.785194574996516,"PF",21396,846,11,5,"heardga01"
821,"Billy Owens",1.48694262718537,-0.755327975755139,"PF",18034,611,10,6,"owensbi01"
822,"Walt Hazzard",1.48520574890884,-2.05399241905914,"PG",20778,782,10,5,"abdulma01"
823,"Jim Holstein",1.47936860857982,-0.50461617457586,"SF",3621,230,3,1,"holstji01"
824,"Bill Robinzine",1.47553032742678,-1.46648389111058,"PF",11619,537,7,4,"robinbi01"
825,"Bob Donham",1.45879859806277,-1.15441675168925,"SG",5214,220,3,1,"donhabo01"
826,"Noble Jorgensen",1.45679950278487,0.639918932839764,"C",2867,145,2,1,"jorgeno01"
827,"Don Reid",1.45329678582192,0.711766344074482,"PF",5487,418,8,3,"reiddo01"
828,"JaVale McGee",1.45019179800852,-2.14848316374394,"C",7911,396,8,4,"mcgeeja01"
829,"Andrew Toney",1.44839446429727,-2.25193764897539,"SG",14754,540,8,1,"toneyan01"
830,"John Mengelt",1.43866552237136,-1.87464486135722,"SG",13078,655,10,5,"mengejo01"
831,"Randy Denton",1.43271851834625,-0.715897947809804,"C",10420,419,6,6,"dentora01"
832,"Stephen Chubin",1.42840382907143,-0.545092401671047,"SG",5651,237,3,7,"chubist01"
833,"Gheorghe Muresan",1.42813167305455,-16.2820230876312,"C",6799,310,6,2,"muresgh01"
834,"Monta Ellis",1.42361607456839,-1.36841214231092,"SG",25544,718,11,4,"ellismo01"
835,"Courtney Lee",1.42348768377286,-0.290865948559302,"SG",15647,578,8,5,"leeco01"
836,"Jamaal Magloire",1.42139288622365,-4.32745461779411,"C",15531,726,12,8,"magloja01"
837,"Whitey Skoog",1.4138281898599,-0.513627616729578,"SG",10124,375,6,1,"skoogwh01"
838,"Chris Childs",1.40311731550515,-1.25967408762708,"PG",15570,614,9,3,"childch01"
839,"Hubert Davis",1.39882583864102,-2.50633899467026,"SG",15964,734,12,6,"davishu01"
840,"Eric Snow",1.39778126525879,-2.21047296177857,"PG",25603,949,13,3,"snower01"
841,"Morris Peterson",1.39593361500675,-0.887552482952186,"SG",20111,744,11,3,"petermo01"
842,"George McCloud",1.3878796322129,-1.89794341844733,"SF",17771,780,12,5,"mccloge01"
843,"Al-Farouq Aminu",1.38531090240551,0.053298352460003,"SF",9050,397,6,5,"aminual01"
844,"Larry Sanders",1.38052091385594,-0.459032244646199,"C",4735,237,5,1,"sandela01"
845,"Robert Traylor",1.37666596599782,0.684623930444602,"C",6488,460,7,4,"traylro01"
846,"Errol Palmer",1.36723856358159,3.23173714382611,"SF",1266,69,1,1,"palmeer01"
847,"Iman Shumpert",1.35927133083444,-1.20014952046212,"SG",7259,273,4,2,"shumpim01"
848,"Jon Koncak",1.35446287440576,-0.34189126709633,"C",17437,837,11,2,"koncajo01"
849,"Clemon Johnson",1.34790195300102,-1.18402974505158,"C",14428,827,10,4,"johnscl01"
850,"Wali Jones",1.34403575447098,-2.64444667881963,"PG",17566,753,11,5,"joneswa02"
851,"Muggsy Bogues",1.33888559469278,-3.46064427200044,"PG",26067,908,14,4,"boguemu01"
852,"Hassan Whiteside",1.3369195260068,-0.611634143770535,"C",1599,79,4,2,"whiteha01"
853,"Andray Blatche",1.33540734555078,-1.22451068183321,"PF",12886,591,9,2,"blatcan01"
854,"Vincent Askew",1.32704642815705,-2.92045477464565,"SG",10068,517,9,8,"askewvi01"
855,"Carey Scurry",1.32630698902482,1.30656759720558,"SF",2487,188,3,2,"scurrca01"
856,"Carlos Delfino",1.32345512280676,-1.39619188043694,"SG",12214,548,8,4,"delfica01"
857,"Steve Novak",1.32109350493371,3.84027662048912,"SF",5779,472,10,8,"novakst01"
858,"Bryant Stith",1.31465384781694,-0.697531336233988,"SG",16915,601,10,3,"stithbr01"
859,"Frankie Brian",1.31287722073428,-1.16327766864988,"SG",8384,341,5,1,"brianfr01"
860,"Jim Barnett",1.31215223846296,-2.00470135755177,"SG",18079,762,11,7,"barneji02"
861,"Keon Clark",1.30833896790036,-0.797879228062315,"C",8419,381,6,4,"clarkke01"
862,"Derek Smith",1.29303561501928,-2.39486105154033,"SG",9974,422,9,6,"smithde02"
863,"Jim Spanarkel",1.2916239631557,-0.938563451227351,"SG",5298,264,5,2,"spanaji01"
864,"Timofey Mozgov",1.28608267685379,-0.708117138940728,"C",6270,332,6,3,"mozgoti01"
865,"Darrell Walker",1.28420523054802,-2.3063631995378,"PG",19109,754,10,5,"walkeda01"
866,"John Paxson",1.27990425317123,-1.57466613428274,"PG",19874,891,11,2,"paxsojo01"
867,"George Thompson",1.2765582946162,-0.174159743742607,"SG",14031,437,6,4,"thompge01"
868,"Roy Hinson",1.27260623952886,-0.474811454955378,"SF",15822,516,8,3,"hinsoro01"
869,"Steve Johnson",1.26676241220998,-4.60601219442064,"C",13864,639,10,7,"johnsst03"
870,"Clem Haskins",1.26540487745891,-0.863385303253264,"SG",17946,709,9,3,"haskicl01"
871,"Bob Rule",1.25931273876668,-3.72075657584322,"C",11862,403,8,4,"rulebo01"
872,"Dean Meminger",1.2592948406545,-0.910515947983807,"SG",9333,461,6,2,"meminde01"
873,"Ernie Grunfeld",1.25861474274502,-0.373976819956642,"SF",13860,735,9,3,"grunfer01"
874,"P.J. Tucker",1.25684231537379,-0.0604461187692271,"SF",7210,268,5,2,"tuckepj01"
875,"Quincy Pondexter",1.2474433017093,-2.22955430212156,"SF",5646,308,5,3,"pondequ01"
876,"Cory Joseph",1.24135223770529,0.370212775159323,"PG",3706,260,5,2,"josepco01"
877,"Jared Sullinger",1.23527234113708,1.22499475590228,"PF",4901,194,4,1,"sullija01"
878,"Dean Garrett",1.22292359914191,-1.75596255581333,"C",7236,372,6,3,"garrede01"
879,"Jeff Cook",1.22004044029898,-0.932327150311757,"PF",10165,548,8,4,"cookje01"
880,"DeMar DeRozan",1.21878149784798,-0.983366959468518,"SG",15829,469,7,1,"derozde01"
881,"Jud Buechler",1.21541421940746,-0.53892299535176,"SF",9005,791,12,7,"buechju01"
882,"C.J. Watson",1.21236494948856,-0.783611749728288,"PG",11384,561,9,5,"watsocj01"
883,"Gene Littles",1.18168803663864,-0.39508536930902,"PG",11802,478,6,2,"littlge01"
884,"Curtis Rowe",1.17410347782496,-0.701545347351791,"PF",19204,618,8,2,"rowecu01"
885,"Bobby Simmons",1.1708112457548,-2.6926984036791,"SF",11704,475,10,5,"simmobo01"
886,"Willie Norwood",1.16876180036887,0.010180825542828,"SF",7631,444,7,3,"norwowi01"
887,"Harvey Catchings",1.16021285812967,-1.47202219224954,"C",13738,778,11,4,"catchha01"
888,"Brandon Knight",1.14649217851981,-1.11651372591417,"PG",9385,289,5,3,"knighbr03"
889,"John Salmons",1.14359029269004,-2.45558522010836,"SG",24367,923,13,6,"salmojo01"
890,"Spencer Hawes",1.14222437895136,-0.772265865704244,"C",14425,612,9,5,"hawessp01"
891,"Travis Grant",1.13444376646666,-7.08693724445432,"SF",4321,204,4,4,"granttr01"
892,"Pablo Prigioni",1.13332386511803,-0.893916439811368,"PG",4324,244,4,3,"prigipa01"
893,"Zaid Abdul-Aziz",1.13314315876301,-1.91970224252606,"C",11233,523,10,6,"abdulza01"
894,"Jonas Valanciunas",1.13286329375177,-0.217357539046794,"C",6548,248,4,1,"valanjo01"
895,"Rich Jones",1.13184114882343,-2.00632278134709,"SF",18168,547,8,5,"jonesri01"
896,"Ed Nealy",1.13155541279444,-1.36561793234379,"PF",7168,573,10,5,"nealyed01"
897,"Enes Kanter",1.13129850323529,-1.03710901253398,"C",6573,309,5,2,"kanteen01"
898,"Ron Bonham",1.13018018305045,0.669455322708555,"SF",1166,130,3,2,"bonharo01"
899,"Chris Whitney",1.11037830632573,-2.50815298268123,"PG",10183,589,11,5,"whitnch01"
900,"Charlie Scott",1.10059334577255,-1.51106302049559,"SG",27205,762,10,5,"scottch01"
901,"Bob Weiss",1.09819808381959,-0.409216853220461,"PG",18380,836,12,6,"weissbo01"
902,"Ian Mahinmi",1.09582677500497,0.460321203162608,"C",6335,428,8,3,"mahinia01"
903,"Jack Molinas",1.09320685917567,3.24575271279511,"SF",958,32,1,1,"molinja01"
904,"Gerald Wilkins",1.09179448720313,-2.76211551338098,"SG",27770,955,13,4,"wilkige01"
905,"Dick Farley",1.0907449190945,-0.246172763223945,"SG",4192,233,3,2,"farledi01"
906,"J.R. Reid",1.08978346423133,-1.36199811232238,"PF",16154,719,11,6,"reidjr01"
907,"Nikola Vucevic",1.08830498041388,-2.65850777099148,"C",8005,270,5,2,"vucevni01"
908,"Ron Williams",1.08620360179212,-0.916953664001123,"PG",12149,548,8,4,"williro01"
909,"Scott Padgett",1.08549419743999,-0.887659186157508,"PF",5904,478,8,4,"padgesc01"
910,"Dave Corzine",1.0822028095673,-1.37789088501836,"C",22104,959,13,5,"corzida01"
911,"Renaldo Balkman",1.08029978818855,0.00724812779960876,"SF",3084,229,6,2,"balkmre01"
912,"Terry Furlow",1.07928011039763,-0.375278204506534,"SG",5119,255,4,4,"furlote01"
913,"Dan Gadzuric",1.07681632542053,-1.32383329595343,"C",7894,539,10,4,"gadzuda01"
914,"Jim Baechtold",1.07655954272308,-0.0986789703713439,"SF",8563,330,5,2,"baechji01"
915,"Jack George",1.07542909455791,-1.89197995493921,"PG",16636,528,8,2,"georgja01"
916,"Wayne Embry",1.07379864890243,-1.43189788456076,"C",23110,887,11,3,"embrywa01"
917,"Andy Phillip",1.06663039917746,-0.634063989695526,"PG",14112,464,7,3,"phillan01"
918,"Anthony Johnson",1.0639615796867,-1.80364594534351,"PG",17121,893,13,7,"johnsan02"
919,"Marquis Daniels",1.06311126840876,-1.00397478496454,"SG",12440,613,10,4,"daniema01"
920,"George Carter",1.05893288182613,-0.872922738495339,"SF",17353,509,8,8,"cartege01"
921,"Kenny Carr",1.04709001966159,-2.55174286555527,"PF",18060,709,10,4,"carrke01"
922,"Wayne Chapman",1.04355551854446,-0.491882160499615,"SF",3492,226,4,3,"chapmwa01"
923,"Otis Smith",1.040486906863,-2.97453161339356,"SG",7788,382,6,3,"smithot01"
924,"Jamal Crawford",1.03809751026589,-1.37269795062663,"SG",33739,1090,16,6,"crawfja01"
925,"Otto Porter",1.0372975925047,-2.2736607464913,"SF",2417,134,3,1,"porteot01"
926,"Henry Logan",1.0363798006353,1.47062989789949,"PG",2791,125,3,3,"loganhe01"
927,"Tyreke Evans",1.02680197638545,-0.675825863181636,"SG",13805,412,6,2,"evansty01"
928,"Reggie Jackson",1.02535576139003,0.0801814974856516,"PG",7352,315,5,2,"jacksre01"
929,"Fred Hetzel",1.02372960369491,-0.856572988276563,"SF",9627,451,6,5,"hetzefr01"
930,"Joel Kramer",1.02169707933049,-1.29105115736708,"PF",4568,356,5,1,"kramejo01"
931,"Bob Bedell",1.01971113365621,-3.77904348373967,"PF",4727,285,4,3,"bedelbo01"
932,"Jason Williams",1.01446524380364,-1.21098589307474,"PG",24921,855,12,4,"willija02"
933,"Ronald Franz",1.01407141962747,-2.88998070686684,"SF",10301,420,6,5,"franzro01"
934,"David Wingate",1.00979588959621,-2.02180440078942,"SG",14127,799,15,6,"wingada01"
935,"Johnny Davis",0.999340327864265,-0.629579254696697,"SG",22270,793,10,4,"davisjo01"
936,"D.J. Augustin",0.995844839965124,-2.34082124588321,"PG",13446,553,8,6,"augusdj01"
937,"Stan McKenzie",0.989498842038953,-3.28518389353127,"SF",7550,403,7,4,"mckenst01"
938,"Luc Longley",0.983605379528015,-1.77833088450064,"C",13920,654,10,4,"longllu01"
939,"Frank Brickowski",0.98349164411245,-1.25731801215908,"C",16868,768,12,6,"brickfr01"
940,"Elliot Perry",0.983072539333845,-2.66777874119691,"PG",9688,568,10,7,"perryel01"
941,"Bill Garnett",0.978540977102692,0.375240283311377,"PF",5334,308,4,2,"garnebi02"
942,"Steve Blake",0.97031223019225,-2.65360497414046,"PG",21013,870,13,8,"blakest01"
943,"Ira Harge",0.965597766204546,-2.14842785054586,"C",14211,466,6,6,"hargeir01"
944,"Phil Hubbard",0.965178605561329,-2.12999158845108,"SF",15986,673,10,2,"hubbaph01"
945,"Fred Schaus",0.964781620090748,-0.918233150733982,"SF",7090,212,3,2,"schaufr01"
946,"Tyler Zeller",0.963266475440862,-0.488051092129579,"C",4981,242,4,2,"zellety01"
947,"Bob Verga",0.960780074997383,-2.28544143520557,"SG",10910,346,6,7,"vergabo01"
948,"Erick Strickland",0.956174845999849,-1.06043692644932,"SG",10390,521,9,6,"stricer01"
949,"Rony Seikaly",0.947219040463571,-2.5081678733149,"C",21800,692,11,4,"seikaro01"
950,"Johnny Newman",0.938292201744305,-1.67636451454905,"SF",29286,1198,16,7,"newmajo01"
951,"Jae Crowder",0.935265518477968,0.957180248693101,"SF",4827,262,4,2,"crowdja01"
952,"Billy Ray Bates",0.932304871565127,-2.13144224936719,"SG",3547,193,4,3,"batesbi01"
953,"Luke Ridnour",0.931438766517907,-1.65894982346531,"PG",22158,852,12,5,"ridnolu01"
954,"Tom Abernethy",0.921823750625327,-0.834930196968131,"SF",5660,332,5,3,"abernto01"
955,"Leroy Ellis",0.921586986943484,-2.42799816638435,"C",29007,1112,14,4,"ellisle01"
956,"Thurl Bailey",0.921551116528356,-1.27357426935277,"PF",26990,997,12,2,"baileth01"
957,"Bob Hansen",0.915549702083362,-1.76374174552376,"SG",12183,624,9,3,"hansebo01"
958,"Gary Trent",0.912607016461596,-3.28830213669154,"PF",10098,534,9,4,"trentga01"
959,"Vince Boryla",0.909658925676067,-0.371852945359384,"SF",5625,174,3,1,"borylvi01"
960,"Bimbo Coles",0.909619913434119,-3.09328219105094,"PG",20513,863,14,5,"colesbi01"
961,"Mike Bantom",0.907226560120419,-0.795070008455707,"SF",20289,735,9,5,"bantomi01"
962,"Olden Polynice",0.905926813945697,-1.59942116592685,"C",25654,1095,15,5,"polynol01"
963,"Hank Finkel",0.904668013860224,-1.72373077593294,"C",7041,584,9,3,"finkeha01"
964,"Gorgui Dieng",0.904172653984426,0.448374913614087,"C",3257,146,3,1,"dienggo01"
965,"Bobby Rascoe",0.899772227389,-2.97696253178669,"SG",3138,171,3,1,"rascobo01"
966,"Mark Blount",0.899215333911361,-2.58124655136119,"C",14352,627,9,4,"blounma01"
967,"Johnny Baum",0.898984227018397,-2.88259714246184,"SF",4002,279,5,4,"baumjo01"
968,"Ricky Rubio",0.896488831988523,0.267143621529749,"PG",6702,211,5,1,"rubiori01"
969,"Jim Chones",0.893704678772197,-1.59929058326638,"C",24794,833,10,5,"choneji01"
970,"Glen Davis",0.893683076249536,-1.34539514324403,"PF",12678,610,8,3,"davisgl01"
971,"Brian Shaw",0.893678423222922,-2.77297588919408,"PG",24108,1070,14,7,"shawbr01"
972,"Lavoy Allen",0.891600050123039,0.0297959171760671,"PF",4944,276,5,2,"allenla01"
973,"Mike Mitchell",0.891373260820479,-2.57779775406049,"SF",25700,794,11,2,"mitchmi01"
974,"Meyers Leonard",0.886785180123586,-2.02413300127888,"C",2760,182,4,1,"leoname01"
975,"Stephen Vacendak",0.884956668945939,-5.59497157061919,"PG",2065,97,3,3,"vacenst01"
976,"Glenn Robinson",0.884887598366612,-1.23128021599334,"SF",26438,727,11,4,"robingl01"
977,"Jeff Malone",0.884363623683845,-2.07604141934296,"SG",31469,956,13,4,"malonje01"
978,"Barry Clemens",0.883621620726553,-1.38654951194694,"SF",12650,797,11,5,"clemeba01"
979,"Earl Lloyd",0.883601194832981,-2.86291230316209,"SF",15592,597,8,2,"lloydea01"
980,"Gustavo Ayon",0.882069034473639,-1.39743416363424,"C",2258,138,3,4,"ayongu01"
981,"Lucious Harris",0.881099850188373,-1.15127101133346,"SG",16788,854,12,4,"harrilu01"
982,"Juwan Howard",0.880307971360992,-2.30052201309773,"PF",37513,1257,19,9,"howarju01"
983,"Chris Wilcox",0.877981027245339,-1.419068831168,"C",12480,630,11,6,"wilcoch01"
984,"Tony Jackson",0.877691753529882,-5.17211839981013,"SF",4091,138,2,4,"jacksto01"
985,"Benoit Benjamin",0.877484822905074,-2.46952808764363,"C",22343,825,15,9,"benjabe01"
986,"Trevor Booker",0.869414025492976,0.199328994153324,"PF",6691,334,6,2,"booketr01"
987,"Jarrett Jack",0.867342283035607,-1.27984235002021,"PG",22642,808,11,7,"jackja01"
988,"Martell Webster",0.867240438164304,-2.51677606375141,"SF",14265,598,10,3,"webstma02"
989,"Anthony Bonner",0.867064847745388,-1.50631076480928,"PF",7544,341,6,3,"bonnean01"
990,"Dale Schlueter",0.8664595220775,-0.360793560134545,"C",9733,603,10,6,"schluda01"
991,"Albert King",0.864700866969789,-1.41065292952133,"SF",13460,555,9,4,"kingal01"
992,"Marv Roberts",0.864348202053731,-1.95515014612109,"SF",8165,426,6,5,"roberma01"
993,"Willie Naulls",0.855460342960367,-1.65414265589118,"SF",21105,751,10,4,"naullwi01"
994,"Tom Hoover",0.851670373816833,1.03413979416143,"C",4304,229,6,7,"hooveto01"
995,"Max Zaslofsky",0.845909654138699,-1.11779731473942,"SG",7493,268,5,4,"zasloma01"
996,"Keith Erickson",0.844509691421422,-1.46496723885982,"SF",21234,853,12,4,"erickke01"
997,"John Johnson",0.843864703851181,-2.15037500171025,"SF",27683,942,12,4,"johnsjo01"
998,"Shammond Williams",0.841754986180438,-1.81506115412253,"PG",5586,340,7,7,"willish01"
999,"Beno Udrih",0.841263027045206,-3.21928957498497,"PG",17659,811,12,7,"udrihbe01"
1000,"Larry Staverman",0.839928550533403,0.56182143996014,"PF",3450,272,5,4,"stavela01"
1001,"Darnell Valentine",0.83975702608311,-1.04798237211439,"PG",15102,646,9,3,"valenda01"
1002,"Corey Brewer",0.839356677654753,-1.34770135525091,"SF",15109,597,9,4,"breweco01"
