"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
3066.5,"Joe Cooper",0,-6.46442284210234,"C",389,24,3,5,"coopejo01"
3066.5,"Joe Courtney",0,-6.01109749056279,"PF",749,96,4,7,"courtjo01"
3066.5,"Joe Crawford",0,-4.32274916462861,"SF",23,2,1,1,"crawfjo01"
3066.5,"Joe DePre",0,-5.54662845037145,"SG",2526,139,3,1,"deprejo01"
3066.5,"Joe Ellis",0,-6.11710610354306,"SF",10949,562,8,2,"ellisjo01"
3066.5,"Joe Fulks",0,-11.3153111795358,"PF",4560,195,3,1,"fulksjo01"
3066.5,"Joe Hamilton",0,-2.49251925184846,"PG",9417,359,6,5,"hamiljo01"
3066.5,"Joe Hamood",0,-10.2147043439407,"SG",1881,79,1,1,"hamoojo01"
3066.5,"Joe Holland",0,-2.79368638940711,"SF",738,56,1,1,"hollajo01"
3066.5,"Joe Holup",0,-4.33601540697972,"SF",3784,207,3,2,"holupjo01"
3066.5,"Joe Kennedy",0,-9.41059034598154,"SF",2705,168,3,2,"kennejo01"
3066.5,"Joe Reaves",0,-6.58511514732657,"SF",210,19,1,2,"reavejo01"
3066.5,"Joe Ruklick",0,-7.877049611019,"PF",932,120,3,1,"ruklijo01"
3066.5,"Joe Smyth",0,-4.37463587335279,"SF",495,40,1,2,"smythjo01"
3066.5,"Joe Stephens",0,-7.86858447511667,"SF",227,22,3,2,"stephjo01"
3066.5,"Joe Strawder",0,-1.03664750519679,"C",6542,237,3,1,"strawjo01"
3066.5,"Joe Thomas",0,-11.2861511026497,"SF",204,39,1,1,"thomajo01"
3066.5,"Joe Wolf",0,-5.50510271703456,"C",9744,606,11,7,"wolfjo01"
3066.5,"Joey Dorsey",0,-3.2425857340167,"PF",1501,136,4,3,"dorsejo01"
3066.5,"Johan Petro",0,-3.74866758609982,"C",7434,495,8,5,"petrojo01"
3066.5,"John Arthurs",0,-4.86198630618783,"G",86,11,1,1,"arthujo01"
3066.5,"John Bagley",0,-3.44094619845173,"PG",17666,684,11,4,"baglejo01"
3066.5,"John Barber",0,-9.46966312571912,"F",19,5,1,1,"barbejo01"
3066.5,"John Celestand",0,-6.88417109474807,"PG",185,16,1,1,"celesjo01"
3066.5,"John Clawson",0,-1.2873305060988,"SF",1380,86,1,1,"clawsjo01"
3066.5,"John Coughran",0,-8.79748113002452,"SF",160,24,1,1,"coughjo01"
3066.5,"John Dickson",0,-38.4588771559714,"C",103,22,1,1,"dicksjo01"
3066.5,"John Douglas",0,-5.47971886645967,"SG",1043,67,2,1,"dougljo01"
3066.5,"John Duren",0,-6.32340963274011,"PG",2947,201,3,2,"durenjo01"
3066.5,"John Edwards",0,-5.66706929929471,"C",435,65,2,2,"edwarjo01"
3066.5,"John Greig",0,-3.06066676639767,"SF",26,9,1,1,"greigjo01"
3066.5,"John Hummer",0,-4.31172789900937,"PF",7504,336,6,3,"hummejo01"
3066.5,"John Kuester",0,-3.70249534395929,"PG",1527,135,3,3,"kuestjo01"
3066.5,"John Laskowski",0,-4.07021614122304,"SG",2132,118,2,1,"laskojo01"
3066.5,"John Mahnken",0,-5.76209357122054,"C",1474,138,2,1,"mahnkjo01"
3066.5,"John McConathy",0,-14.1659491148568,"F",106,11,1,1,"mcconjo01"
3066.5,"John Morrison",0,-7.25443388555985,"G",76,9,1,1,"morrijo01"
3066.5,"John Morton",0,-7.18904755724532,"SF",1890,131,3,2,"mortojo01"
3066.5,"John O'Boyle",0,-5.03920464540057,"SG",97,5,1,1,"oboyljo01"
3066.5,"John Olive",0,-12.5943498379591,"SF",204,35,2,1,"olivejo01"
3066.5,"John Pilch",0,-9.91270897375098,"F",41,9,1,1,"pilchjo01"
3066.5,"John Pinone",0,-3.90629228742384,"SF",65,7,1,1,"pinonjo01"
3066.5,"John Postley",0,-4.37463587335279,"F",6,1,1,1,"postljo01"
3066.5,"John Rennicke",0,-14.3431674540695,"G",54,6,1,1,"rennijo01"
3066.5,"John Richter",0,-2.23987907936729,"C",903,74,1,1,"richtjo01"
3066.5,"John Rudd",0,-3.15629228742384,"SF",723,58,1,1,"ruddjo01"
3066.5,"John Schweitz",0,-17.8611835988084,"SG",117,22,2,2,"schwejo01"
3066.5,"John Shasky",0,-4.9478592426472,"C",1505,136,3,3,"shaskjo01"
3066.5,"John Stroud",0,-6.38986650994488,"SF",88,9,1,1,"stroujo01"
3066.5,"John Thomas",0,-4.2096680527099,"C",2310,217,5,6,"thomajo02"
3066.5,"John Turner",0,-6.50758212392099,"SF",345,42,1,1,"turnejo01"
3066.5,"John Vallely",0,-4.46324504295916,"SG",796,100,2,2,"vallejo01"
3066.5,"John Wallace",0,-6.68946731216995,"SF",6187,386,7,5,"wallajo01"
3066.5,"John Wetzel",0,-1.73982546760776,"SG",4752,362,7,3,"wetzejo01"
3066.5,"John Williamson",0,-2.57510348087348,"SG",16566,549,8,5,"willijo01"
3066.5,"John Windsor",0,-0.653050749885212,"PF",68,11,1,1,"windsjo01"
3066.5,"Johnny Austin",0,-4.21956982654164,"SG",753,45,2,2,"austijo01"
3066.5,"Johnny Cox",0,-4.02019919492731,"SG",1685,73,1,1,"coxjo01"
3066.5,"Johnny Horan",0,-8.007611827214,"F",93,19,1,2,"horanjo01"
3066.5,"Johnny Mathis",0,-3.79867627091138,"PF",656,51,1,1,"mathijo01"
3066.5,"Johnny Neumann",0,-3.86246225875029,"SG",10838,484,7,9,"neumajo01"
3066.5,"Johnny O'Bryant",0,-8.25255183212075,"PF",611,48,2,1,"obryajo01"
3066.5,"Johnny Rogers",0,-4.87465281964852,"PF",636,69,2,2,"rogerjo01"
3066.5,"Johnny Taylor",0,-9.68609029963089,"SF",866,54,3,2,"taylojo01"
3066.5,"Jon Sundvold",0,-6.12722363225275,"PG",8968,512,9,3,"sundvjo01"
3066.5,"Jonathan Kerner",0,-13.3633397385695,"C",5,1,1,1,"kernejo01"
3066.5,"Jonny Flynn",0,-5.60821149230666,"PG",3738,163,3,3,"flynnjo01"
3066.5,"Jordan Clarkson",0,-1.19995195397844,"PG",1880,72,2,1,"clarkjo01"
3066.5,"Jordan Crawford",0,-4.55077093511749,"SG",6464,268,4,4,"crawfjo02"
3066.5,"Jordan Hamilton",0,-4.91049876932933,"SF",1803,143,4,3,"hamiljo02"
3066.5,"Jordan Williams",0,-1.65500245092668,"C",635,43,1,1,"willijo03"
3066.5,"Jorge Garbajosa",0,-1.47717029319118,"PF",1983,74,2,1,"garbajo01"
3066.5,"Jose Ortiz",0,-3.37750052724693,"PF",391,64,2,1,"ortizjo01"
3066.5,"Jose Slaughter",0,-4.44745003029869,"SG",515,63,1,1,"slaugjo01"
3066.5,"Joseph Forte",0,-10.9117507677424,"SG",125,25,2,2,"fortejo01"
3066.5,"Joseph Young",0,-7.6936738199847,"PG",37,4,1,1,"youngjo01"
3066.5,"Josh Boone",0,-1.15273951790933,"PF",4600,268,4,1,"boonejo01"
3066.5,"Josh Grant",0,-4.64844771539354,"PF",383,54,1,1,"grantjo01"
3066.5,"Josh Richardson",0,-3.36135833423498,"SG",47,4,1,1,"richajo01"
3066.5,"Josh Selby",0,-10.439268241285,"PG",296,38,2,1,"selbyjo01"
3066.5,"Juan Carlos Navarro",0,-2.80566291903817,"SG",2117,82,1,1,"navarju01"
3066.5,"Juan Dixon",0,-4.7034843543027,"SG",8798,454,7,4,"dixonju01"
3066.5,"Juaquin Hawkins",0,-3.39427208864454,"SG",685,58,1,1,"hawkiju01"
3066.5,"Julius Nwosu",0,-13.7788906458492,"C",91,25,1,1,"nwosuju01"
3066.5,"Julius Randle",0,-10.0724966798874,"PF",389,14,2,1,"randlju01"
3066.5,"Junior Burrough",0,-6.69112524671622,"PF",495,61,1,1,"burroju01"
3066.5,"Junior Harrington",0,-4.94302371844849,"PG",3096,140,3,3,"harriju01"
3066.5,"Justin Anderson",0,-1.85311434576968,"SG",74,10,1,1,"anderju01"
3066.5,"Justin Dentmon",0,-14.3445855438592,"PG",95,8,2,3,"dentmju01"
3066.5,"Justin Harper",0,-12.4083273242747,"PF",89,15,1,1,"harpeju01"
3066.5,"Justin Holiday",0,-4.85823053363338,"SG",987,85,3,3,"holidju01"
3066.5,"Justin Reed",0,-5.95543884463561,"SF",1458,142,3,2,"reedju01"
3066.5,"Justin Williams",0,-10.8303845178588,"C",456,49,2,2,"williju01"
3066.5,"Justise Winslow",0,-1.64616019380154,"SF",337,12,1,1,"winslju01"
3066.5,"Justus Thigpen",0,-12.1112098132695,"SG",159,22,3,3,"thigpju01"
3066.5,"Jusuf Nurkic",0,-1.11387580777765,"C",1103,62,1,1,"nurkiju01"
3066.5,"K.J. McDaniels",0,-8.11266890388269,"SG",1382,67,2,2,"mcdankj01"
3066.5,"Kalin Lucas",0,-4.25506465037833,"PG",6,1,1,1,"lucaska01"
3066.5,"Kannard Johnson",0,-13.7146295750666,"SF",12,4,1,1,"johnska01"
3066.5,"Kareem Rush",0,-4.60607132299386,"SG",6335,377,7,5,"rushka01"
3066.5,"Kasib Powell",0,-4.15947022907799,"SF",304,11,1,1,"powelka01"
3066.5,"Kebu Stewart",0,-2.92145932813146,"PF",110,15,1,1,"stewake01"
3066.5,"Keith Benson",0,-7.65314544549551,"C",9,3,1,1,"bensoke02"
