"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
349,"Archie Clark",3.70478063157219,328,3.08049203463461,393,0.624288596937587,-0.393380668405732,1.21243931177789,"PG",32.6231155778895,25968,796,10,1967,1976,"PHI",6,"clarkar01"
350,"Otis Birdsong",3.70399868326175,321,3.16476518880535,421,0.539233494456393,-0.218911419390058,1.04968975989539,"SG",31.0766073871409,22717,731,12,1978,1989,"NJN",3,"birdsot01"
351,"Billy Knight",3.7038488020234,315,3.25607673558219,455,0.447772066441205,-0.137507956735295,1.44453280918048,"SF",29.1138497652582,24805,852,11,1975,1985,"IND",6,"knighbi01"
352,"Brandan Wright",3.69389206504544,300,3.50938432440489,631,0.184507740640545,1.31774470019829,1.18052945864159,"PF",16.3023872679045,6146,377,8,2008,2016,"DAL",6,"wrighbr03"
353,"Brook Lopez",3.69193427779131,316,3.25014202069489,458,0.441792257096419,0.876454455254325,1.14129460448558,"C",32.6825396825397,14413,441,8,2009,2016,"BRK",2,"lopezbr01"
354,"Gene Banks",3.67908143130687,307,3.38163005514942,541,0.297451376157452,0.777521097004359,1.24975243261846,"SF",27.830303030303,13776,495,6,1982,1987,"SAS",2,"banksge01"
355,"Xavier McDaniel",3.6764011178979,345,2.82707379987409,341,0.849327318023816,-0.475098030915526,1.16512589739013,"SF",29.2442996742671,26934,921,12,1986,1998,"SEA",5,"mcdanxa01"
356,"Spencer Haywood",3.6065860605548,336,2.94323363686924,385,0.663352423685561,-0.673710921920518,1.18373669715115,"PF",34.7199100112486,30866,889,13,1970,1983,"SEA",6,"haywosp01"
357,"Gene Shue",3.60080596354192,371,2.48168575400018,289,1.11912020954174,-0.757034837256848,1.36739007487412,"PG",33.5280437756498,24509,731,10,1955,1964,"DET",5,"shuege01"
358,"Roy Hibbert",3.55970537679882,464,1.46868345670665,199,2.09102192009217,-0.020058838155357,1.55022788583174,"C",26.4716666666667,15883,600,8,2009,2016,"IND",2,"hibbero01"
359,"Happy Hairston",3.55627798653653,396,2.12694801930752,243,1.42932996722901,-0.0550506608829763,1.04837898826525,"PF",31.1834319526627,26350,845,11,1965,1975,"LAL",3,"hairsha01"
360,"Orlando Woolridge",3.55236072088647,303,3.43249188142682,716,0.11986883945965,-0.400315068970489,1.37158903585772,"SF",28.1240135287486,24946,887,13,1982,1994,"CHI",7,"woolror01"
361,"Rik Smits",3.47861007588178,476,1.36855729177845,198,2.11005278410333,-0.574810791772659,1.23247646778082,"C",26.6189495365602,25847,971,12,1989,2000,"IND",1,"smitsri01"
362,"Jose Calderon",3.43966226492182,310,3.35132848918536,768,0.0883337757364579,-0.101021956704491,1.71207083644902,"PG",28.7372881355932,20346,708,11,2006,2016,"TOR",4,"caldejo01"
363,"Gail Goodrich",3.43643943700975,504,1.11556880679417,185,2.32087063021559,-0.9650488143603,1.67005353463508,"SG",32.5373537353735,36149,1111,14,1966,1979,"LAL",3,"goodrga01"
364,"Darryl Dawkins",3.40322363769835,391,2.21075007814841,273,1.19247355954993,-0.215407338279792,1.27729381520198,"C",23.9149700598802,19969,835,14,1976,1989,"PHI",4,"dawkida01"
365,"Rudy Gay",3.37653282564651,308,3.37653282564651,2593,0,-0.141707666678202,1.24048111216224,"SF",35.8348214285714,24081,672,10,2007,2016,"MEM",3,"gayru01"
366,"Reggie Theus",3.37454725188697,325,3.12286214455471,569,0.251685107332256,-0.287891478533416,0.951057961156079,"SG",33.6960690316395,35145,1043,13,1979,1991,"CHI",6,"theusre01"
367,"Latrell Sprewell",3.37183657042358,385,2.29415896056015,295,1.07767760986342,-0.492091841068834,1.0959916163643,"SF",38.7876923076923,37818,975,13,1993,2005,"NYK",3,"sprewla01"
368,"Kevin Willis",3.36684257278406,337,2.93453536780275,466,0.432307204981314,-1.41162215034048,1.04486715513557,"PF",26.7667542706965,40739,1522,21,1985,2007,"ATL",8,"willike02"
369,"Kurt Rambis",3.34508860447314,426,1.75528369926699,227,1.58980490520615,0.0680968159443753,0.994973408534687,"PF",18.5122669283611,18864,1019,14,1982,1995,"LAL",4,"rambiku01"
370,"Mike Miller",3.30370401057322,333,3.01706429141172,549,0.286639719161504,-0.117416787093551,0.869988791841882,"SF",27.0383895131086,28877,1068,16,2001,2016,"MEM",7,"millemi01"
371,"Chris Morris",3.29750156407392,383,2.30785646027245,309,0.989645103801469,0.0740610774799941,1.26738371873338,"SF",24.375,19890,816,11,1989,1999,"NJN",3,"morrich01"
372,"Steve Mix",3.29064852584638,446,1.60749467796306,222,1.68315384788332,-0.0219294155319924,1.66413739528829,"SF",23.1163055872292,20273,877,13,1970,1983,"PHI",5,"mixst01"
373,"Eric Bledsoe",3.21896616232092,352,2.76584343882852,451,0.453122723492404,0.327270663594328,1.10220900757531,"PG",25.0854700854701,8805,351,6,2011,2016,"LAC",2,"bledser01"
374,"Mickey Johnson",3.21888576847713,361,2.65669024057657,413,0.562195527900556,0.028037862384996,0.993894746593621,"PF",27.6069114470842,25564,926,12,1975,1986,"CHI",5,"johnsmi01"
