"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1616,"LaBradford Smith",0.0729043245156828,1295,0.0729043245156828,2764,0,-3.9699560202034,0.0729043245156828,"SG",17.1092896174863,3131,183,3,1992,1994,"WSB",2,"smithla02"
1617,"Greg Kite",0.0724540911478669,2775,0,1304,0.0724540911478669,-3.38868919969415,0.0724540911478669,"C",14.1120107962213,10457,741,12,1984,1995,"BOS",7,"kitegr01"
1618,"Dontonio Wingfield",0.0724486673709157,2775,0,1305,0.0724486673709157,-1.9448042187962,0.0724486673709157,"SF",10.0327868852459,1224,122,4,1995,1998,"POR",2,"wingfdo01"
1619,"Pete Myers",0.0710623308268057,1459,0.0133382893104222,1345,0.0577240415163835,-2.75974152711265,0.0577240415163835,"SG",15.8802992518703,6368,401,9,1987,1998,"CHI",7,"myerspe01"
1620,"Randy Livingston",0.0700211118476086,1307,0.0634034957913406,1497,0.00661761605626807,-3.75284280512871,0.0634034957913406,"PG",13.0272727272727,2866,220,11,1997,2007,"PHO",9,"livinra01"
1621,"Greg Anderson",0.0690499639713866,1298,0.0690499639713866,2764,0,-2.31865114056204,0.0690499639713866,"PF",20.5351506456241,14313,697,10,1988,1998,"SAS",6,"andergr01"
1622,"Earl Cureton",0.068848245191051,2775,0,1312,0.068848245191051,-1.97465123870939,0.068848245191051,"C",17.8681318681319,13008,728,12,1981,1997,"DET",7,"curetea01"
1623,"Antonio Burks",0.0687205972912296,2775,0,1313,0.0687205972912296,-5.89756533872998,0.0687205972912296,"PG",9.58333333333333,805,84,2,2005,2006,"MEM",1,"burksan01"
1624,"Ira Newble",0.0684331221956262,1511,0.00439199374232069,1323,0.0640411284533055,-2.09571881768592,0.0640411284533055,"SF",19.5586734693878,7667,392,8,2001,2008,"CLE",5,"newblir01"
1625,"Sundiata Gaines",0.0683743254309087,2775,0,1314,0.0683743254309087,-2.23429576041965,0.0683743254309087,"PG",11.1694915254237,1318,118,3,2010,2012,"NJN",4,"gainesu01"
