"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
478,"Goran Dragic",6.53941061137176,371,6.39250077991504,1160,0.146909831456712,0.929376537565215,3.90611854038921,"PG",25.7566037735849,13651,530,8,2009,2016,"PHO",3,"dragigo01"
479,"Wesley Matthews",6.5297681953083,382,6.15556921643987,940,0.374198978868428,1.26588613424532,2.15615963288989,"SG",32.4104166666667,15557,480,7,2010,2016,"POR",3,"matthwe02"
480,"Willie Somerset",6.4992155654469,444,4.7781842984787,531,1.7210312669682,2.16946979936164,4.30904276026248,"PG",38.9109589041096,5681,146,3,1966,1969,"HSM",3,"somerwi01"
481,"Jose Calderon",6.43052309442577,387,6.01329830790842,905,0.417224786517347,0.512595488057001,2.74414738402518,"PG",28.7372881355932,20346,708,11,2006,2016,"TOR",4,"caldejo01"
482,"Bob Houbregs",6.42532140679712,591,2.67865225362951,339,3.74666915316761,0.933620549049035,3.10263473855022,"C",24.4458333333333,5867,240,5,1954,1958,"FTW",4,"houbrbo01"
483,"J.R. Smith",6.4243421212865,499,3.83492830644242,430,2.58941381484408,0.0131169059253733,1.16884547524379,"SG",26.6302021403092,22396,841,12,2005,2016,"DEN",5,"smithjr01"
484,"Corey Maggette",6.40022956575088,398,5.84606417847518,832,0.554165387275706,0.413577010125889,1.80314164912337,"SF",28.1883194278903,23650,839,14,2000,2013,"LAC",6,"maggeco01"
485,"DeMarcus Cousins",6.36317980208778,374,6.36317980208778,2764,0,1.14978054321899,3.23424272835521,"C",31.0779944289694,11157,359,6,2011,2016,"SAC",1,"couside01"
486,"Vinnie Johnson",6.31360326975855,506,3.63023182620378,420,2.68337144355477,0.199311156873779,1.31398987849249,"SG",24.5263636363636,26979,1100,13,1980,1992,"DET",3,"johnsvi01"
487,"Kurt Rambis",6.28572218183547,560,2.97991316113461,366,3.30580902070085,0.655345437454031,1.03159972664705,"PF",18.5122669283611,18864,1019,14,1982,1995,"LAL",4,"rambiku01"
488,"Jerry Stackhouse",6.27717076552667,384,6.07294802140261,1085,0.204222744124064,-0.249355807466653,3.51199074289353,"SG",30.9894736842105,32384,1045,18,1996,2013,"DAL",8,"stackje01"
