Rank,player,Hall_Rating,Reg_Season_Rank,Reg_Season_Hall_Rating,Playoff_Rank,Playoff_Hall_Rating,Equiv_BPM,Best_Season,Position,MPG,Minutes,Games,Seasons,Rookie_Yr,Final_Yr,Primary_Team,Teams,player_id
53,Jeff Hornacek,57.66318438,61,35.75840785,52,21.90477654,2.836468633,5.725214467,SG,31.82415776,38730,1217,14,1987,2000,UTA,3,hornaje01
54,Bill Sharman,56.64202237,78,29.78210948,38,26.85991289,3.496514578,5.673838289,SG,32.14511873,24366,758,10,1952,1961,BOS,1,sharmbi01
55,Bobby Jones,56.39277166,58,36.58615115,58,19.80662051,3.727095613,6.247711857,PF,27.48901099,30018,1092,12,1975,1986,PHI,3,jonesbo01
56,Shawn Marion,54.81392123,46,43.7567689,117,11.05715233,2.841892641,7.219267374,SF,34.53930818,43934,1272,16,2000,2015,PHO,5,mariosh01
57,Walt Bellamy,54.29700849,41,46.01229077,151,8.284717724,3.145107878,8.884766391,C,37.53810836,40879,1089,14,1962,1975,ATL,7,bellawa01
58,George Mikan,54.13623071,95,26.99626282,36,27.13996788,6.479772992,12.42803005,C,34.68309859,9850,284,4,1952,1956,MNL,1,mikange01
59,Bailey Howell,53.18524166,48,41.62230797,108,11.56293368,3.388375499,7.102035635,PF,32.19015444,33349,1036,12,1960,1971,DET,4,howelba01
60,Larry Nance,52.28651623,47,43.68782264,147,8.598693592,3.723773641,6.122458299,PF,33.52732794,33125,988,13,1982,1994,CLE,2,nancela01
61,Cliff Hagan,52.19367148,83,28.88050987,47,23.3131616,3.012160317,8.93285151,SF,29.07280514,27154,934,13,1957,1970,STL,2,hagancl01
62,Patrick Ewing,51.20867064,54,37.42766936,84,13.78100128,2.329008738,6.054772433,C,34.64523449,45801,1322,17,1986,2002,NYK,3,ewingpa01
63,Dwight Howard,50.75937051,62,35.57464685,76,15.18472367,3.317169506,8.554564308,C,35.7827051,32276,902,12,2005,2016,ORL,3,howardw01
64,Roger Brown,50.72857948,145,19.05579682,29,31.67278266,2.950540235,10.24128046,SF,35.64195804,25484,715,8,1968,1975,INA,3,brownro01
65,Tracy McGrady,50.67311648,38,46.60742374,291,4.065692738,3.622225336,11.10256853,SG,32.77530364,32382,988,16,1998,2013,HOU,7,mcgratr01
66,Isiah Thomas,50.26233071,130,21.56328051,35,28.69905019,2.061303683,8.497391407,PG,36.45137615,39732,1090,13,1982,1994,DET,1,thomais01
67,Chet Walker,50.1285164,63,34.75990996,73,15.36860644,2.860050264,7.426405799,SF,32.64819701,37121,1137,13,1963,1975,CHI,3,walkech01
68,Robert Horry,49.73624261,199,13.71688485,16,36.01935776,1.995583985,6.281507378,PF,25.08660252,33892,1351,16,1993,2008,LAL,4,horryro01
69,James Worthy,48.96677448,137,19.94550964,34,29.02126484,1.949310223,6.952708707,SF,33.01964453,35298,1069,12,1983,1994,LAL,1,worthja01
70,Jimmy Jones,47.19294278,96,26.83120602,57,20.36173676,3.245862373,9.246539078,PG,34.43483871,26687,775,10,1968,1977,UTS,4,jonesji01
71,Vince Carter,46.70715992,51,39.75545046,181,6.951709462,2.675797403,7.689242482,SG,33.30579151,43131,1295,18,1999,2016,TOR,6,cartevi01
72,Eddie Jones,46.52962636,57,36.73368737,126,9.795938993,2.97255411,5.040362271,SG,34.3410628,35543,1035,14,1995,2008,MIA,5,jonesed02
73,Bob Cousy,46.27943475,109,23.29588492,50,22.98354983,2.309473601,4.101832932,PG,35.63929314,34285,962,13,1952,1970,BOS,2,cousybo01
74,Ed Macauley,45.95435906,56,37.28309822,146,8.671260838,4.292532569,9.60005856,C,35.36297641,19485,551,8,1952,1959,BOS,2,macaued01
75,George McGinnis,45.45039746,92,27.44772197,62,18.00267549,2.572263484,10.03103966,PF,33.71458774,31894,946,11,1972,1982,INA,4,mcginge01
76,Elton Brand,45.03992365,50,40.46670109,269,4.573222557,2.934051805,8.009431654,PF,33.14338575,35828,1081,16,2000,2015,LAC,5,brandel01
77,Terry Porter,44.6536281,94,27.02343323,65,17.63019487,2.105565808,7.84460644,PG,28.10658083,39293,1398,17,1986,2002,POR,4,portete01
78,Dave Cowens,44.59622362,80,29.26410417,74,15.33211945,2.85851463,6.659374817,C,38.98596491,33333,855,11,1971,1983,BOS,2,cowenda01
