"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
58,"Jeff Hornacek",54.7265330149649,2.83602476845896,5.54079555862673,"SG",31.8241577649959,38730,1217,14,1987,2000,3,"hornaje01"
59,"Tracy McGrady",54.5368124829112,3.63146469571581,11.0981202232505,"SG",32.7753036437247,32382,988,16,1998,2013,7,"mcgratr01"
60,"Bob Cousy",54.0574260090623,2.346881003648,7.00710190496937,"PG",35.6392931392931,34285,962,13,1952,1970,2,"cousybo01"
61,"Larry Nance",53.5312538897325,3.72174261079253,6.1190435955939,"PF",33.5273279352227,33125,988,13,1982,1994,2,"nancela01"
62,"Bailey Howell",52.9385408353983,3.38483713224283,6.92086360674129,"PF",32.1901544401544,33349,1036,12,1960,1971,4,"howelba01"
63,"Patrick Ewing",52.3716830604771,2.32911245901698,6.05051327076374,"C",34.6452344931921,45801,1322,17,1986,2002,3,"ewingpa01"
64,"Chet Walker",51.6250356608648,2.86012701684653,7.42021479845421,"SF",32.6481970096746,37121,1137,13,1963,1975,3,"walkech01"
65,"Roger Brown",50.5014357025028,3.01877162318163,9.96716553128327,"SF",35.641958041958,25484,715,8,1968,1975,3,"brownro01"
66,"Jimmy Jones",50.4955557987514,3.30440098871567,9.0288961324018,"PG",34.4348387096774,26687,775,10,1968,1977,4,"jonesji01"
67,"George Mikan",50.3811920235321,6.49517901711532,14.196700730844,"C",34.6830985915493,9850,284,4,1952,1956,1,"mikange01"
68,"Vince Carter",48.8824000698757,2.67902973703609,7.68504131318458,"SG",33.3057915057915,43131,1295,18,1999,2016,6,"cartevi01"
69,"Dwight Howard",48.8567539063973,3.31814284153584,6.84058487967956,"C",35.7827050997783,32276,902,12,2005,2016,3,"howardw01"
70,"Isiah Thomas",47.6528710151514,2.05940865727118,6.79518268555531,"PG",36.451376146789,39732,1090,13,1982,1994,1,"thomais01"
71,"Elton Brand",46.9094005704526,2.9343766254135,8.00500437933486,"PF",33.1433857539315,35828,1081,16,2000,2015,5,"brandel01"
72,"George Gervin",46.9010693306814,2.23706893415421,4.9718426536474,"SG",33.9064685314685,38789,1144,14,1973,1986,4,"gervige01"
73,"Dave Cowens",46.6722063511587,2.92426158358933,6.20839968894466,"C",38.9859649122807,33333,855,11,1971,1983,2,"cowenda01"
74,"Elvin Hayes",46.5649821476988,1.69950943210775,4.99574167666042,"PF",38.7133666904932,54160,1399,16,1969,1984,5,"hayesel01"
75,"Eddie Jones",46.3484957132711,2.97126802212119,5.03672191514843,"SG",34.3410628019324,35543,1035,14,1995,2008,5,"jonesed02"
76,"Marques Johnson",45.7914418124836,3.32863058090301,5.77208130645673,"SF",34.6389261744966,25806,745,11,1978,1990,3,"johnsma01"
77,"Sidney Moncrief",45.6911442752054,3.56232895515656,6.57287411843793,"SG",30.6697674418605,26376,860,11,1980,1991,2,"moncrsi01"
78,"George McGinnis",45.2443271518892,2.5897930560237,8.95112331111939,"PF",33.7145877378436,31894,946,11,1972,1982,4,"mcginge01"
79,"Jerry Lucas",45.221937726674,2.93792982028944,5.98439662131928,"PF",38.291897891232,34501,901,11,1964,1974,3,"lucasje01"
80,"Chris Webber",45.1896339069596,2.96835507637755,5.74766369692223,"PF",37.0439077936334,33747,911,15,1994,2008,6,"webbech01"
81,"Allen Iverson",45.0617237224703,2.55527191151711,5.70422654476934,"SG",41.4081218274112,40787,985,14,1997,2010,4,"iversal01"
82,"Ed Macauley",45.0567679006646,4.33307416233165,8.16090930203857,"C",35.3629764065336,19485,551,8,1952,1959,2,"macaued01"
83,"Kevin Johnson",44.7759116930553,2.88844908192905,5.91141794532667,"PG",34.4523809523809,28940,840,12,1988,2000,2,"johnske02"
